,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
0,cerulean-sun-7843,finished,59,ReLU,casual,0.084742086,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,us4e85bpzl,2,,,,,,,,,,,,,,,,,
1,glamorous-durian-7842,finished,59,ReLU,casual,0.835414094,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,1pwp1pk5y7,2,,,,,,,,,,,,,,,,,
2,likely-water-7841,finished,59,ReLU,casual,0.808066304,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,epmkle3bug,2,,,,,,,,,,,,,,,,,
3,vocal-dream-7840,finished,59,ReLU,casual,0.325354135,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,btgpumzd1c,2,,,,,,,,,,,,,,,,,
4,silver-fog-7839,finished,59,ReLU,casual,0.581614939,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,27hum15tbu,2,,,,,,,,,,,,,,,,,
5,morning-lion-7838,finished,59,ReLU,casual,0.697687268,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,9ulmykx3mj,2,,,,,,,,,,,,,,,,,
6,helpful-aardvark-7837,finished,59,ReLU,casual,0.929412898,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,i8vgwzhqwd,2,,,,,,,,,,,,,,,,,
7,laced-sea-7836,finished,59,ReLU,casual,0.120224775,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,1mjfdnhdqc,2,,,,,,,,,,,,,,,,,
8,fragrant-breeze-7835,finished,59,ReLU,casual,0.452061553,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,vdccvqrrx7,2,,,,,,,,,,,,,,,,,
9,valiant-music-7834,finished,59,ReLU,casual,0.838256306,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,51uboyn9ag,2,,,,,,,,,,,,,,,,,
10,sunny-armadillo-7833,finished,59,ReLU,casual,0.318522783,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,3xutjxvamh,2,,,,,,,,,,,,,,,,,
11,graceful-shape-7832,finished,59,ReLU,casual,0.669935941,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,7fj1t1dwfy,2,,,,,,,,,,,,,,,,,
12,bumbling-water-7831,finished,59,ReLU,casual,0.769514692,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,9cimpo4ogh,2,1,1,0.685640814,53.98677314,54.00634335,0,0.160251835,0.160473064,25.08780966,0.133044299,0.134059637,1,1.47E-07,1,2.66E-07,0.41165712,0.998771394
13,restful-field-7830,finished,59,ReLU,casual,0.995880876,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,71f3kmb7v8,2,,,,,,,,,,,,,,,,,
14,treasured-sponge-7829,finished,59,ReLU,casual,0.569018702,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,zuhgwjhf5c,2,,,,,,,,,,,,,,,,,
15,treasured-surf-7828,finished,59,ReLU,casual,0.91907389,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,qfjk4ye3e9,2,1,1,0.843696311,46.80725607,46.8893227,0,0.10122747,0.101662677,24.1970901,0.067676329,0.071822781,1,1.34E-07,1,1.90E-07,0.402158364,0.981044901
16,smart-leaf-7827,finished,59,ReLU,casual,0.667194547,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,fmfmh5dlis,2,1,1,0.666194363,37.24401918,37.24401918,0,0.148420338,0.142838043,24.07891438,0.122082631,0.119112964,1,1.32E-07,1,1.80E-07,0.623980014,0.998492074
17,lunar-music-7826,finished,59,ReLU,casual,0.796421803,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,rte2spff4w,2,1,1,0.646305395,96.05391618,96.09410536,0,0.143125081,0.142982187,26.72230037,0.113078711,0.113438318,1,1.67E-07,1,3.09E-07,0.805562823,0.514273492
18,pleasant-meadow-7825,finished,59,ReLU,casual,0.537424823,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,a586c3szwr,2,1,1,0.213211784,44.16849249,44.16849249,0,0.23770746,0.235651239,25.37887053,0.234289632,0.235466674,1,1.56E-07,1,3.14E-07,0.984296867,0.990615945
19,lucky-cloud-7824,finished,59,ReLU,casual,0.526165469,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,sodsmatq2q,2,1,1,0.518453745,54.59784797,54.59784797,0,0.163646882,0.160725508,24.6134317,0.142549508,0.142015936,1,1.45E-07,1,1.93E-07,0.946057888,0.878953503
20,sweet-plasma-7823,finished,59,ReLU,casual,0.980570012,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,tsie6ra5uu,2,1,1,0.637283098,85.02452102,85.02872417,0,0.133719964,0.122713872,20.78636317,0.132762526,0.120057169,0.764726996,0.792600226,0.770444751,0.81315825,0.9554131,0.95417498
21,olive-serenity-7822,finished,59,ReLU,casual,0.413795181,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,qjzn7icdes,2,1,1,0.962680163,303.5214916,303.5214916,0,0.051867466,0.049934255,16.88454468,0.044950174,0.048910784,1,4.09E-08,1,2.41E-07,0.99324279,0.492971999
22,snowy-firefly-7821,finished,59,ReLU,casual,0.179054243,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,whv32o6tuq,2,1,1,0.206672211,41.2071348,41.20847264,0,0.189008646,0.188384021,23.10723948,0.185866355,0.185884142,1,1.30E-07,1,1.79E-07,0.993259378,0.991523658
23,soft-jazz-7820,finished,59,ReLU,casual,0.349674445,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,labnl98nf6,2,1,1,0.50736758,68.46471739,68.46471739,0,0.159264076,0.160591799,20.98271544,0.143542841,0.142494277,1,0.000230242,0.985652804,0.049096253,0.999388338,0.772606514
24,clear-butterfly-7819,finished,59,ReLU,casual,0.548819002,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,dkczxzk4xq,2,1,1,0.703479998,51.40290106,51.42354474,0,0.123928919,0.121094133,15.21628938,0.118271026,0.11477896,1,2.75E-08,1,4.02E-08,0.998764818,0.862289415
25,leafy-glade-7818,finished,59,ReLU,casual,0.153568193,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,3zmpv2prhg,2,1,1,0.164643754,36.69503008,36.71315116,0,0.225004316,0.225208828,23.18948064,0.222603167,0.222771754,1,1.32E-07,1,1.84E-07,0.993363503,0.999686802
26,iconic-eon-7817,finished,59,ReLU,casual,0.04218314,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,tgw6ftg246,2,1,1,0.457269853,47.51647051,47.52664187,0,0.17894095,0.178073125,13.51408769,0.169246067,0.170237022,1,2.05E-08,1,2.95E-08,0.993232193,0.860486501
27,hearty-hill-7816,finished,59,ReLU,casual,0.299048537,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,a8qwq615bg,2,1,1,0.56693527,45.66488522,45.71873619,0,0.139987432,0.132243081,24.26537655,0.113658668,0.111906055,1,1.45E-07,1,2.58E-07,0.989946157,0.998212974
28,stellar-feather-7815,finished,59,ReLU,casual,0.082273441,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,eroovzov69,2,1,1,0.865810789,68.52880716,68.53091285,0,0.105881674,0.103010401,15.21076307,0.101047906,0.108650489,0.393678159,1.762471917,0.377331436,1.770729875,0.798205363,0.428428216
29,youthful-rain-7814,finished,59,ReLU,casual,0.174146327,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,kkyj4r4n8m,2,1,1,0.208887351,64.79059751,64.83121597,0,0.20239965,0.201009537,14.12274902,0.199280747,0.198143748,1,2.18E-08,1,2.92E-08,0.988413216,0.79556717
30,still-energy-7813,finished,59,ReLU,casual,0.024593546,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,97u1ifi1ig,2,1,1,0.394090357,134.904531,134.904531,0,0.157603984,0.157879433,24.85065083,0.148919175,0.148434547,1,1.54E-07,1,2.40E-07,0.99709883,0.524918302
31,efficient-pond-7812,finished,59,ReLU,casual,0.355908462,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,okamtbgkjf,2,1,1,0.303987731,46.2096317,46.2096317,0,0.177600887,0.177669733,24.60005102,0.169882757,0.170048434,1,1.47E-07,1,2.13E-07,0.991264448,0.993465776
32,polar-water-7811,finished,59,ReLU,casual,0.015441514,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,3x4aj18qsl,2,1,1,0.890432817,81.86538912,81.93046432,0,0.096164533,0.088578285,18.19003571,0.09252989,0.091362297,0.614224136,1.06149354,0.602582514,1.023237408,0.904885255,0.962776632
33,astral-pyramid-7810,finished,59,ReLU,casual,0.377794891,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,bjylf65rnp,2,1,1,0.877024844,77.06293628,77.08025652,0,0.092927516,0.094917857,16.67027205,0.067526627,0.060832124,1,4.07E-08,1,7.58E-07,0.99626799,0.840562514
34,royal-jazz-7809,finished,59,ReLU,casual,0.941123145,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,fh7842tpr9,2,1,1,0.989618011,34.52313907,34.52313907,0,0.048660813,0.047425747,27.49172291,0.027929758,0.030323792,1,6.84E-05,1,0.00010465,0.476040704,0.654544804
35,dry-dawn-7808,finished,59,ReLU,casual,0.266356569,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,7udd1hwyx8,2,1,1,0.870497719,48.53004354,48.54338994,0,0.10241256,0.097786894,16.75941834,0.097530104,0.098853619,0.747485638,0.748608066,0.707317054,0.776773135,0.90678624,0.908379025
36,kind-spaceship-7807,finished,59,ReLU,casual,0.234175911,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,yzb2onuifo,2,1,1,0.859365955,327.4986773,327.5164742,0,0.089366263,0.090893656,20.42705809,0.079998509,0.077308209,1,0.014554568,1,0.023085113,0.913579987,0.484115891
37,radiant-bird-7806,finished,59,ReLU,casual,0.892574247,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,y67yyryu6t,2,1,1,0.9447215,61.74542739,61.78044713,0,0.08887195,0.089929887,24.47183863,0.037284518,0.031320781,1,0.000279821,1,0.000607371,0.510215081,0.862029632
38,breezy-brook-7805,finished,59,ReLU,casual,0.169164152,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,2reo2443td,2,1,1,0.174180529,76.26646807,76.29448995,0,0.215596455,0.21585309,13.05363663,0.214353222,0.213829573,1,1.65E-08,1,2.23E-08,0.99787459,0.999577451
39,polar-frog-7804,finished,59,ReLU,casual,0.683957949,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,z854rko95i,2,1,1,0.658423425,67.68994212,67.68994212,0,0.160658742,0.162793487,26.67158604,0.1577513,0.171866041,1,0.000841135,1,0.000988027,0.967389767,0.800043048
40,volcanic-sponge-7803,finished,59,ReLU,casual,0.866692681,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,iy3zurvrdp,2,1,1,0.959537565,46.13717328,46.13927074,0,0.068084008,0.063428985,23.92573016,0.046076305,0.050934815,1,8.19E-05,0.997130573,0.009923614,0.420100951,0.739073819
41,wild-pyramid-7802,finished,59,ReLU,casual,0.534173758,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,jqyn2d2tz4,2,1,1,0.263887513,29.07393172,29.07393172,0,0.201420563,0.200502078,24.86177285,0.194952537,0.195351921,1,1.53E-07,1,2.50E-07,0.992756024,0.996220454
42,stilted-oath-7801,finished,59,ReLU,casual,0.313049931,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,xi44jstjwk,2,1,1,0.19775422,68.90743271,68.90954253,0,0.200957808,0.202163099,25.36595038,0.197807968,0.197691078,1,1.61E-07,1,2.65E-07,0.997038708,0.514742571
