,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
0,volcanic-sound-6148,finished,59,ReLU,casual,0.345296081,3481,75,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,emfumzd4tz,2,,,,,,,,,,,,,,,,,
1,rose-lion-6147,finished,59,ReLU,casual,0.13903788,3481,161,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,rb2usel85o,2,,,,,,,,,,,,,,,,,
2,vivid-frog-6146,finished,59,ReLU,casual,0.574114665,3481,230,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,e566oqzbes,2,,,,,,,,,,,,,,,,,
3,glamorous-totem-6145,finished,59,ReLU,casual,0.46263663,3481,85,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,vwetbw7mrh,2,,,,,,,,,,,,,,,,,
4,solar-cherry-6144,finished,59,ReLU,casual,0.592238197,3481,415,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,6gjj5wemxw,2,,,,,,,,,,,,,,,,,
5,wobbly-disco-6143,finished,59,ReLU,casual,0.171516158,3481,36,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,jqili84piw,2,,,,,,,,,,,,,,,,,
6,azure-yogurt-6142,finished,59,ReLU,casual,0.154188695,3481,132,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,y7os7wm4i6,2,,,,,,,,,,,,,,,,,
7,light-feather-6141,finished,59,ReLU,casual,0.810498498,3481,68,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,ajiapp42vf,2,1,1,0.977926144,48.09265434,48.19915348,0,0.049131956,0.045970306,32.90391103,0.040250664,0.040682675,1,0.000400828,1,0.00052978,0.897982507,0.499565221
8,frosty-music-6140,finished,59,ReLU,casual,0.035168602,3481,495,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,26id7m2lng,2,,,,,,,,,,,,,,,,,
9,vocal-oath-6139,finished,59,ReLU,casual,0.044327673,3481,87,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,sez9dk71cq,2,,,,,,,,,,,,,,,,,
10,pleasant-puddle-6138,finished,59,ReLU,casual,0.727027566,3481,45,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,v7oma1hd5l,2,,,,,,,,,,,,,,,,,
11,atomic-tree-6137,finished,59,ReLU,casual,0.733055612,3481,37,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,unoqu3sdo5,2,,,,,,,,,,,,,,,,,
12,winter-snowball-6136,finished,59,ReLU,casual,0.338680946,3481,503,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,7mw25txpwg,2,,,,,,,,,,,,,,,,,
13,neat-disco-6135,finished,59,ReLU,casual,0.316708421,3481,113,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,nthlnv97oj,2,1,1,0.452321374,58.48622183,58.50324882,0,0.171623565,0.168454931,32.67739224,0.164146449,0.160583441,1,0.080449007,1,0.101994204,0.987375442,0.926531491
14,logical-thunder-6134,finished,59,ReLU,casual,0.01512496,3481,320,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,g2hq1aglsl,2,1,1,0.674650497,81.68477307,81.70153157,0,0.136246613,0.115971497,18.45229837,0.10580166,0.109082036,1,0.016270455,1,0.029145403,0.998783756,0.927124215
